"","Substrate_ACC","Substrate_GN","sites","Peptides","log2_TMT_127N_126_median..Basal.breast.cancer.rep2.Basal.breast.cancer.rep1.","log2_TMT_127C_126_median..Luminal.breast.cancer.rep2.Basal.breast.cancer.rep1.","log2_TMT_128N_126_median..Luminal.breast.cancer.rep1.Basal.breast.cancer.rep1.","log2_TMT_128C_126_median..Basal.breast.cancer.rep1.Basal.breast.cancer.rep1.","log2_TMT_129N_126_median..Luminal.breast.cancer.rep3.Basal.breast.cancer.rep1.","log2_TMT_129C_126_median..Luminal.breast.cancer.rep2.Basal.breast.cancer.rep1.","log2_TMT_130N_126_median..Basal.breast.cancer.rep3.Basal.breast.cancer.rep1.","log2_TMT_130C_126_median..Basal.breast.cancer.rep2.Basal.breast.cancer.rep1.","log2_TMT_131_126_median..Luminal.breast.cancer.rep1.Basal.breast.cancer.rep1."
"877","P34897","SHMT2",NA,NA,-0.153,0.775,0.287,0.134,0.519,0.751,0.335,0.064,0.302
"878","Q9CZN7","Shmt2",NA,NA,-0.153,0.775,0.287,0.134,0.519,0.751,0.335,0.064,0.302
"879","Q92922","SMARCC1",NA,NA,-0.08,-0.125,-0.325,0.173,-0.342,-0.226,0.46,0.077,-0.353
"880","P97496","Smarcc1",NA,NA,-0.08,-0.125,-0.325,0.173,-0.342,-0.226,0.46,0.077,-0.353
"881","P25787","PSMA2",NA,NA,-0.134,0.074,0.347,-0.017,0.041,-0.037,-0.017,-0.308,-0.499
"882","P49722","Psma2",NA,NA,-0.134,0.074,0.347,-0.017,0.041,-0.037,-0.017,-0.308,-0.499
"883","P07954","FH",NA,NA,-0.308,0.298,0.163,0.129,0.377,0.339,0.047,-0.193,0.117
"884","P97807","Fh",NA,NA,-0.308,0.298,0.163,0.129,0.377,0.339,0.047,-0.193,0.117
"885","O75347","TBCA",NA,NA,-0.275,-0.649,-0.717,0.049,-0.814,-0.494,-0.057,-0.406,-0.821
"886","P22626","HNRNPA2B1",NA,NA,-0.386,-0.277,-0.398,0.081,-0.506,-0.223,-0.141,-0.105,-0.505
"887","O88569","Hnrnpa2b1",NA,NA,-0.386,-0.277,-0.398,0.081,-0.506,-0.223,-0.141,-0.105,-0.505
"888","O43143","DHX15",NA,NA,-0.304,0.159,-0.148,-0.138,-0.09,0.079,0.03,-0.107,-0.247
"889","O35286","Dhx15",NA,NA,-0.304,0.159,-0.148,-0.138,-0.09,0.079,0.03,-0.107,-0.247
"890","Q96C86","DCPS",NA,NA,-0.417,0.143,0.199,0.061,-0.363,0.302,0.159,0.35,0.254
"891","P55084","HADHB",NA,NA,-0.375,-0.108,-0.245,0.105,-0.264,-0.035,-0.093,-0.18,-0.181
"892","P06733","ENO1",NA,NA,0.185,0.795,0.704,0.421,1.159,0.886,0.961,0.217,0.873
"893","P17182","Eno1",NA,NA,0.185,0.795,0.704,0.421,1.159,0.886,0.961,0.217,0.873
"894","Q80XU3","Nucks1",NA,NA,-0.171,0.088,-0.142,0.037,-0.019,0.244,0.181,-0.038,-0.022
"895","Q01804","OTUD4",NA,NA,-0.061,-0.556,-0.437,0.216,-0.421,-0.43,0.185,0.361,-0.538
"896","Q8WZ42","TTN",NA,NA,0.644,0.044,0.327,0.489,0.015,1.641,1.013,5.758,0.566
"897","P48047","ATP5PO",NA,NA,-0.253,0.649,0.474,0.072,0.794,0.627,0.136,-0.035,0.678
"898","P23528","CFL1",NA,NA,-0.051,0.371,0.351,0.083,0.324,0.475,-0.024,-0.27,0.301
"899","P18760","Cfl1",NA,NA,-0.051,0.371,0.351,0.083,0.324,0.475,-0.024,-0.27,0.301
"900","P61956","SUMO2",NA,NA,-0.286,-0.029,-0.138,0.047,-0.172,-0.191,-0.074,0.055,-0.148
"901","P61957","Sumo2",NA,NA,-0.286,-0.029,-0.138,0.047,-0.172,-0.191,-0.074,0.055,-0.148
"902","P07724","Alb",NA,NA,-0.182,1.181,0.942,0.243,0.971,1.604,0.324,0.273,1.147
"903","Q15596","NCOA2",NA,NA,-0.457,0.351,0.021,-0.025,0.079,0.305,-0.191,-0.13,0.164
"904","Q61026","Ncoa2",NA,NA,-0.457,0.351,0.021,-0.025,0.079,0.305,-0.191,-0.13,0.164
"905","Q6NZI2","CAVIN1",NA,NA,-0.407,0.819,1.322,0.224,1.037,0.899,0.425,-0.104,1.403
"906","O54724","Cavin1",NA,NA,-0.407,0.819,1.322,0.224,1.037,0.899,0.425,-0.104,1.403
"907","P52565","ARHGDIA",NA,NA,-0.787,1.031,1.005,-0.17,1.116,0.909,-0.244,-0.354,1.017
"908","Q9H1E3","NUCKS1",NA,NA,0.624,-2.029,-2.193,0.132,-3.098,-1.895,0.498,0.546,-2.341
"909","Q80XU3","Nucks1",NA,NA,0.624,-2.029,-2.193,0.132,-3.098,-1.895,0.498,0.546,-2.341
"910","P61604","HSPE1",NA,NA,-0.362,1.101,0.59,0.22,1.193,1.233,0.246,0.106,0.754
"911","P33241","LSP1",NA,NA,-0.218,-3.072,-3.149,-0.053,-5.228,-3.011,-0.299,-0.213,-3.776
"912","P19973","Lsp1",NA,NA,-0.218,-3.072,-3.149,-0.053,-5.228,-3.011,-0.299,-0.213,-3.776
"913","Q05639","EEF1A2",NA,NA,-0.29,0.585,0.298,0.318,0.724,0.458,-0.01,-0.095,0.481
"914","P68104","EEF1A1",NA,NA,-0.29,0.585,0.298,0.318,0.724,0.458,-0.01,-0.095,0.481
"915","P62631","Eef1a2",NA,NA,-0.29,0.585,0.298,0.318,0.724,0.458,-0.01,-0.095,0.481
"916","P10126","Eef1a1",NA,NA,-0.29,0.585,0.298,0.318,0.724,0.458,-0.01,-0.095,0.481
"917","P07737","PFN1",NA,NA,0.148,-0.03,0.181,0.117,-0.09,-0.069,0.038,-0.046,0.249
"918","P62962","Pfn1",NA,NA,0.148,-0.03,0.181,0.117,-0.09,-0.069,0.038,-0.046,0.249
"919","P08133","ANXA6",NA,NA,-0.441,0.467,0.401,0.191,0.363,0.459,0.087,-0.131,0.396
"920","P14824","Anxa6",NA,NA,-0.441,0.467,0.401,0.191,0.363,0.459,0.087,-0.131,0.396
"921","P06733","ENO1",NA,NA,0.107,0.577,0.636,0.118,0.574,0.438,0.355,0.27,0.596
"922","Q64475","H2bc3",NA,NA,-0.086,0.167,0.056,0.258,-0.095,0.152,-0.203,-0.278,0.107
"923","Q9Y305","ACOT9",NA,NA,-0.221,-0.072,-0.078,0.154,0.132,0.097,-0.069,-0.248,-0.156
"924","P42766","RPL35",NA,NA,-0.432,-0.458,-0.938,0.056,-0.886,-0.47,0.007,-0.42,-0.64
"925","Q6ZWV7","Rpl35",NA,NA,-0.432,-0.458,-0.938,0.056,-0.886,-0.47,0.007,-0.42,-0.64
"926","Q8CEG0","Panx3",NA,NA,-0.188,-0.394,-0.484,0.143,-0.456,-0.391,0.084,-0.167,-0.405
"927","P06748","NPM1",NA,NA,-0.086,1.144,0.792,0.352,1.279,1.069,0.455,0.253,0.862
"928","Q61937","Npm1",NA,NA,-0.086,1.144,0.792,0.352,1.279,1.069,0.455,0.253,0.862
"929","Q13428","TCOF1",NA,NA,-0.136,-1.166,-1.532,0.074,-1.732,-1.135,0.053,-0.183,-1.462
"930","P62826","RAN",NA,NA,-0.143,0.17,0.161,0.133,0.472,0.358,0.189,-0.181,0.122
"931","P62827","Ran",NA,NA,-0.143,0.17,0.161,0.133,0.472,0.358,0.189,-0.181,0.122
"932","Q05BQ5","MBTD1",NA,NA,-0.257,-2.636,-2.961,0.087,-4.203,-3.066,-0.508,-0.38,-2.845
"933","P10809","HSPD1",NA,NA,-0.382,1.683,1.421,0.35,1.878,1.675,0.41,0.202,1.42
"934","O14782","KIF3C",NA,NA,-0.382,1.683,1.421,0.35,1.878,1.675,0.41,0.202,1.42
"935","O15066","KIF3B",NA,NA,-0.382,1.683,1.421,0.35,1.878,1.675,0.41,0.202,1.42
"936","Q61771","Kif3b",NA,NA,-0.382,1.683,1.421,0.35,1.878,1.675,0.41,0.202,1.42
"937","Q9D6J1","Cers4",NA,NA,-0.337,1.056,1.09,0.142,1.468,1.073,0.306,0.112,1.097
"938","Q8WYH8","ING5",NA,NA,-0.33,-0.589,-0.966,0.094,-0.896,-0.376,-0.082,-0.174,-0.88
"939","Q9D8Y8","Ing5",NA,NA,-0.33,-0.589,-0.966,0.094,-0.896,-0.376,-0.082,-0.174,-0.88
"940","O95619","YEATS4",NA,NA,0.039,-0.01,-0.036,0.19,0.067,0.115,0.389,0.089,-0.008
"941","Q9CR11","Yeats4",NA,NA,0.039,-0.01,-0.036,0.19,0.067,0.115,0.389,0.089,-0.008
"942","P08670","VIM",NA,NA,-0.721,0.496,0.784,0.339,0.807,0.691,0.074,0.04,0.846
"943","P20152","Vim",NA,NA,-0.721,0.496,0.784,0.339,0.807,0.691,0.074,0.04,0.846
"944","Q96EK6","GNPNAT1",NA,NA,-0.493,0.627,0.629,0.125,0.749,0.62,0.099,-0.177,0.664
"945","Q9JK38","Gnpnat1",NA,NA,-0.493,0.627,0.629,0.125,0.749,0.62,0.099,-0.177,0.664
"946","P45880","VDAC2",NA,NA,-0.338,0.979,0.724,-0.112,1.374,0.933,0.625,0.06,0.614
"947","Q60930","Vdac2",NA,NA,-0.338,0.979,0.724,-0.112,1.374,0.933,0.625,0.06,0.614
"948","Q12792","TWF1",NA,NA,-0.473,-0.335,-0.276,0.095,-0.3,0.032,-0.352,-0.43,-0.088
"949","Q91YR1","Twf1",NA,NA,-0.473,-0.335,-0.276,0.095,-0.3,0.032,-0.352,-0.43,-0.088
"950","P02088","Hbb-b1",NA,NA,0.038,-0.806,-0.518,0.214,-0.954,-0.517,0.023,0.178,-0.526
"951","P10243","MYBL1",NA,NA,-0.232,0.262,-0.096,0.154,-0.08,0.203,0.087,0.094,0.01
"952","P51960","Mybl1",NA,NA,-0.232,0.262,-0.096,0.154,-0.08,0.203,0.087,0.094,0.01
"953","P35908","KRT2",NA,NA,-0.297,0.253,0.082,0.093,0.212,0.228,0.032,-0.253,0.07
"954","Q01546","KRT76",NA,NA,-0.297,0.253,0.082,0.093,0.212,0.228,0.032,-0.253,0.07
"955","P12035","KRT3",NA,NA,-0.297,0.253,0.082,0.093,0.212,0.228,0.032,-0.253,0.07
"956","Q9NSB2","KRT84",NA,NA,-0.297,0.253,0.082,0.093,0.212,0.228,0.032,-0.253,0.07
"957","P13647","KRT5",NA,NA,-0.297,0.253,0.082,0.093,0.212,0.228,0.032,-0.253,0.07
"958","P04259","KRT6B",NA,NA,-0.297,0.253,0.082,0.093,0.212,0.228,0.032,-0.253,0.07
"959","P02538","KRT6A",NA,NA,-0.297,0.253,0.082,0.093,0.212,0.228,0.032,-0.253,0.07
"960","P48668","KRT6C",NA,NA,-0.297,0.253,0.082,0.093,0.212,0.228,0.032,-0.253,0.07
"961","O95678","KRT75",NA,NA,-0.297,0.253,0.082,0.093,0.212,0.228,0.032,-0.253,0.07
"962","Q5XKE5","KRT79",NA,NA,-0.297,0.253,0.082,0.093,0.212,0.228,0.032,-0.253,0.07
"963","P05787","KRT8",NA,NA,-0.297,0.253,0.082,0.093,0.212,0.228,0.032,-0.253,0.07
"964","P08729","KRT7",NA,NA,-0.297,0.253,0.082,0.093,0.212,0.228,0.032,-0.253,0.07
"965","Q3TTY5","Krt2",NA,NA,-0.297,0.253,0.082,0.093,0.212,0.228,0.032,-0.253,0.07
"966","Q99M73","Krt84",NA,NA,-0.297,0.253,0.082,0.093,0.212,0.228,0.032,-0.253,0.07
"967","Q3UV17","Krt76",NA,NA,-0.297,0.253,0.082,0.093,0.212,0.228,0.032,-0.253,0.07
"968","Q922U2","Krt5",NA,NA,-0.297,0.253,0.082,0.093,0.212,0.228,0.032,-0.253,0.07
"969","Q6IFZ6","Krt77",NA,NA,-0.297,0.253,0.082,0.093,0.212,0.228,0.032,-0.253,0.07
"970","P50446","Krt6a",NA,NA,-0.297,0.253,0.082,0.093,0.212,0.228,0.032,-0.253,0.07
"971","Q8BGZ7","Krt75",NA,NA,-0.297,0.253,0.082,0.093,0.212,0.228,0.032,-0.253,0.07
"972","Q8VED5","Krt79",NA,NA,-0.297,0.253,0.082,0.093,0.212,0.228,0.032,-0.253,0.07
"973","P07744","Krt4",NA,NA,-0.297,0.253,0.082,0.093,0.212,0.228,0.032,-0.253,0.07
"974","Q9DCV7","Krt7",NA,NA,-0.297,0.253,0.082,0.093,0.212,0.228,0.032,-0.253,0.07
"975","P35579","MYH9",NA,NA,-0.26,0.79,0.494,0.171,0.768,0.766,0.214,-0.091,0.548
"976","Q8VDD5","Myh9",NA,NA,-0.26,0.79,0.494,0.171,0.768,0.766,0.214,-0.091,0.548
"977","Q9HB96","FANCE",NA,NA,-0.499,0.033,0.122,0.018,0.221,0.803,0.3,3.778,0.388
"978","P02088","Hbb-b1",NA,NA,-0.314,0.078,-0.038,0.049,-0.182,0.215,-0.064,-0.066,-0.063
"979","Q15149","PLEC",NA,NA,-0.193,0.652,0.613,0.218,0.71,0.72,-0.071,-0.212,0.667
"980","P08758","ANXA5",NA,NA,-0.013,0.095,0.19,0.174,0.285,0.113,0.251,0,0.204
"981","Q06203","PPAT",NA,NA,-0.093,0.186,0.048,0.254,0.405,0.209,0.212,0.15,0.016
"982","P22392","NME2",NA,NA,0.092,0.547,0.224,0.388,0.182,0.739,0.042,0.095,0.394
"983","Q01768","Nme2",NA,NA,0.092,0.547,0.224,0.388,0.182,0.739,0.042,0.095,0.394
"984","Q9Y3A3","MOB4",NA,NA,-0.213,0.363,0.099,0.363,0.554,0.501,0.345,0.078,0.461
"985","Q6PEB6","Mob4",NA,NA,-0.213,0.363,0.099,0.363,0.554,0.501,0.345,0.078,0.461
"986","P51397","DAP",NA,NA,-0.183,0.021,0.113,0.103,0.163,0.131,0.218,-0.25,0.247
"987","Q01853","Vcp",NA,NA,-0.298,0.067,0.179,0.073,-0.038,0.194,-0.116,0.301,0.245
"988","Q9NRC6","SPTBN5",NA,NA,-0.304,0.214,0.17,-0.019,0.488,0.258,-0.007,-0.553,0.054
"989","Q14194","CRMP1",NA,NA,-0.175,-0.274,-0.248,0.097,-0.379,-0.063,-0.07,-0.029,-0.221
"990","Q16555","DPYSL2",NA,NA,-0.175,-0.274,-0.248,0.097,-0.379,-0.063,-0.07,-0.029,-0.221
"991","Q14195","DPYSL3",NA,NA,-0.175,-0.274,-0.248,0.097,-0.379,-0.063,-0.07,-0.029,-0.221
"992","O08553","Dpysl2",NA,NA,-0.175,-0.274,-0.248,0.097,-0.379,-0.063,-0.07,-0.029,-0.221
"993","Q62188","Dpysl3",NA,NA,-0.175,-0.274,-0.248,0.097,-0.379,-0.063,-0.07,-0.029,-0.221
"994","Q3KR37","GRAMD1B",NA,NA,-0.552,-0.547,-0.7,0.16,-1.286,-0.57,-1.487,-0.657,-0.63
"995","Q80TI0","Gramd1b",NA,NA,-0.552,-0.547,-0.7,0.16,-1.286,-0.57,-1.487,-0.657,-0.63
"996","P37837","TALDO1",NA,NA,-0.169,-0.283,-0.317,0.038,0.052,-0.148,0.178,-0.078,-0.424
"997","P0DP23","CALM1",NA,NA,-0.449,-0.115,-0.277,0.074,-0.255,-0.18,-0.004,-0.258,-0.243
"998","P0DP24","CALM2",NA,NA,-0.449,-0.115,-0.277,0.074,-0.255,-0.18,-0.004,-0.258,-0.243
"999","P0DP25","CALM3",NA,NA,-0.449,-0.115,-0.277,0.074,-0.255,-0.18,-0.004,-0.258,-0.243
"1000","P0DP26","Calm1",NA,NA,-0.449,-0.115,-0.277,0.074,-0.255,-0.18,-0.004,-0.258,-0.243
"1001","P0DP27","Calm2",NA,NA,-0.449,-0.115,-0.277,0.074,-0.255,-0.18,-0.004,-0.258,-0.243
"1002","P0DP28","Calm3",NA,NA,-0.449,-0.115,-0.277,0.074,-0.255,-0.18,-0.004,-0.258,-0.243
"1003","Q9H1E3","NUCKS1",NA,NA,-0.23,-1.839,-1.598,0.039,-2.12,-1.869,-0.178,-0.241,-1.878
"1004","Q80XU3","Nucks1",NA,NA,-0.23,-1.839,-1.598,0.039,-2.12,-1.869,-0.178,-0.241,-1.878
"1005","P08758","ANXA5",NA,NA,-0.175,0.046,0.173,0.104,0.225,0.118,0.204,-0.035,0.105
"1006","P48036","Anxa5",NA,NA,-0.175,0.046,0.173,0.104,0.225,0.118,0.204,-0.035,0.105
"1007","P99999","CYCS",NA,NA,-0.034,0.246,0.284,0.029,0.761,0.437,0.306,0.056,0.274
"1008","P25705","ATP5F1A",NA,NA,-0.389,1.928,1.27,0.428,1.266,1.88,0.017,0.084,1.277
"1009","Q9Z0E6","Gbp2",NA,NA,-0.778,-0.666,-0.877,0.017,-0.823,-0.767,-0.715,-0.526,-0.903
"1010","Q9D2G2","Dlst",NA,NA,-0.778,-0.666,-0.877,0.017,-0.823,-0.767,-0.715,-0.526,-0.903
"1011","Q5T8P6","RBM26",NA,NA,-0.277,0.643,0.674,0.094,0.466,0.671,0.581,-0.246,0.564
"1012","P10639","Txn",NA,NA,-0.045,0.013,0.102,0.15,0.032,0.575,-0.098,3.286,0.098
"1013","Q9JMC8","Epb41l4b",NA,NA,-0.341,0.328,0.201,0.153,0.38,0.415,0.147,-0.165,0.221
"1014","Q13951","CBFB",NA,NA,-0.26,-0.178,-0.437,0.068,-0.424,-0.213,0.032,-0.103,-0.458
"1015","Q08024","Cbfb",NA,NA,-0.26,-0.178,-0.437,0.068,-0.424,-0.213,0.032,-0.103,-0.458
"1016","Q9UNL4","ING4",NA,NA,-0.147,-0.329,-0.496,0.101,-0.727,-0.279,0.149,-0.275,-0.399
"1017","Q8C0D7","Ing4",NA,NA,-0.147,-0.329,-0.496,0.101,-0.727,-0.279,0.149,-0.275,-0.399
"1018","Q99KU1","Dhdds",NA,NA,-0.057,-0.309,-0.519,0.038,-0.719,-0.315,-0.138,-0.094,-0.826
"1019","P37802","TAGLN2",NA,NA,-0.363,-0.562,-0.639,0.003,-0.793,-0.563,-0.027,-0.202,-0.806
"1020","Q9WVA4","Tagln2",NA,NA,-0.363,-0.562,-0.639,0.003,-0.793,-0.563,-0.027,-0.202,-0.806
"1021","P61313","RPL15",NA,NA,-0.332,-1.102,-1.549,-0.048,-2.14,-0.836,-0.103,-0.455,-1.425
"1022","Q9CZM2","Rpl15",NA,NA,-0.332,-1.102,-1.549,-0.048,-2.14,-0.836,-0.103,-0.455,-1.425
"1023","O75947","ATP5PD",NA,NA,-0.352,0.893,0.723,0.27,1.031,1.021,0.1,-0.046,0.625
"1024","Q9P016","THYN1",NA,NA,-0.501,-0.04,-0.382,0.153,-0.436,0.05,-0.239,-0.408,-0.291
"1025","P63104","YWHAZ",NA,NA,-0.034,1.25,1.149,0.39,1.263,1.299,0.587,0.167,1.113
"1026","P63101","Ywhaz",NA,NA,-0.034,1.25,1.149,0.39,1.263,1.299,0.587,0.167,1.113
"1027","P16401","H1-5",NA,NA,-0.236,-1.435,-1.816,0.077,-2.302,-1.167,0.429,-0.111,-1.581
"1028","P39748","FEN1",NA,NA,-0.323,-0.977,-1.067,0.038,-1.466,-0.922,-0.266,-0.269,-1.093
"1029","P00338","LDHA",NA,NA,-0.049,0.681,0.778,0.206,0.564,0.589,0.241,0.611,0.611
"1030","P08758","ANXA5",NA,NA,-0.044,0.205,0.356,0.095,0.27,0.079,0.761,-0.132,0.19
"1031","P48036","Anxa5",NA,NA,-0.044,0.205,0.356,0.095,0.27,0.079,0.761,-0.132,0.19
"1032","Q9NVD7","PARVA",NA,NA,-0.251,0.168,0.123,0.209,0.053,0.164,0.262,-0.186,0.284
"1033","Q9EPC1","Parva",NA,NA,-0.251,0.168,0.123,0.209,0.053,0.164,0.262,-0.186,0.284
"1034","Q96AE4","FUBP1",NA,NA,-0.163,0.187,0.115,-0.001,-0.004,0.237,-0.084,-0.128,0.272
"1035","Q92922","SMARCC1",NA,NA,-0.145,-2.523,-2.739,-0.219,-3.302,-2.008,-0.161,-0.294,-2.886
"1036","P00558","PGK1",NA,NA,-0.339,0.736,0.55,0.251,1.038,0.736,-0.045,0.067,0.731
"1037","P09411","Pgk1",NA,NA,-0.339,0.736,0.55,0.251,1.038,0.736,-0.045,0.067,0.731
"1038","P10606","COX5B",NA,NA,0.119,0.601,0.383,0.521,0.65,0.68,0.547,0.492,0.475
"1039","Q01196","RUNX1",NA,NA,-0.343,-0.532,-0.309,0.094,-0.426,-0.157,0.147,-0.193,-0.438
"1040","P61254","RPL26",NA,NA,-0.155,-0.024,-0.176,0.198,-0.028,-0.036,0.19,-0.001,-0.12
"1041","Q9UNX3","RPL26L1",NA,NA,-0.155,-0.024,-0.176,0.198,-0.028,-0.036,0.19,-0.001,-0.12
"1042","P61255","Rpl26",NA,NA,-0.155,-0.024,-0.176,0.198,-0.028,-0.036,0.19,-0.001,-0.12
"1043","O43390","HNRNPR",NA,NA,-0.234,-0.601,-0.824,0.074,-0.852,-0.568,-0.003,-0.288,-1.034
"1044","P49321","NASP",NA,NA,-0.146,-1.497,-1.699,0.059,-1.506,-1.331,0.176,-0.002,-1.636
"1045","P48735","IDH2",NA,NA,-0.481,0.81,0.25,0.222,0.799,0.801,0.148,-0.117,0.37
"1046","P54071","Idh2",NA,NA,-0.481,0.81,0.25,0.222,0.799,0.801,0.148,-0.117,0.37
"1047","Q14980","NUMA1",NA,NA,-0.035,0.164,0.015,0.316,-0.069,0.115,0.243,0.229,-0.151
"1048","E9Q7G0","Numa1",NA,NA,-0.035,0.164,0.015,0.316,-0.069,0.115,0.243,0.229,-0.151
"1049","P62979","RPS27A",NA,NA,-0.214,0.084,0.012,0.11,0.264,0.271,0.302,-0.022,-0.001
"1050","P62983","Rps27a",NA,NA,-0.214,0.084,0.012,0.11,0.264,0.271,0.302,-0.022,-0.001
"1051","P11177","PDHB",NA,NA,-0.356,0.451,0.051,0.076,0.296,0.298,-0.154,0.046,0.24
"1052","Q9P2P6","STARD9",NA,NA,-0.059,-1.799,-1.65,-0.034,-1.676,-1.533,0.604,0.091,-1.544
"1053","P31786","Dbi",NA,NA,0.02,-0.492,-0.288,-0.008,-0.508,-0.376,-0.142,0.028,-0.608
"1054","P07108","DBI",NA,NA,0.139,0.386,0.544,0.231,0.739,0.425,0.375,0.098,0.487
"1055","P00558","PGK1",NA,NA,-0.138,0.458,0.41,0.194,0.874,0.332,0.174,-0.116,0.427
"1056","P08670","VIM",NA,NA,-0.278,0.258,0.238,0.117,0.148,0.329,-0.034,-0.075,0.234
"1057","P20152","Vim",NA,NA,-0.278,0.258,0.238,0.117,0.148,0.329,-0.034,-0.075,0.234
"1058","P48735","IDH2",NA,NA,-0.304,0.307,0.03,0.435,0.434,0.398,0.016,0.007,0.149
"1059","P54071","Idh2",NA,NA,-0.304,0.307,0.03,0.435,0.434,0.398,0.016,0.007,0.149
"1060","P23528","CFL1",NA,NA,-0.231,0.155,0.108,0.099,0.1,0.023,0.065,-0.026,0.037
"1061","P18760","Cfl1",NA,NA,-0.231,0.155,0.108,0.099,0.1,0.023,0.065,-0.026,0.037
"1062","Q14847","LASP1",NA,NA,-0.578,-2.076,-2.058,-0.055,-3.271,-1.668,-1.175,-0.485,-2.437
"1063","Q61792","Lasp1",NA,NA,-0.578,-2.076,-2.058,-0.055,-3.271,-1.668,-1.175,-0.485,-2.437
"1064","P51160","PDE6C",NA,NA,-0.209,-0.561,-0.675,0.159,-0.551,-0.381,0.114,-0.018,-0.469
"1065","P61247","RPS3A",NA,NA,0.026,0.388,0.581,0.088,0.443,0.605,0.512,0.443,0.539
"1066","P97351","Rps3a",NA,NA,0.026,0.388,0.581,0.088,0.443,0.605,0.512,0.443,0.539
"1067","P49750","YLPM1",NA,NA,-0.26,-0.769,-0.722,-0.14,-0.797,-0.277,0.195,-0.372,-0.67
"1068","P48735","IDH2",NA,NA,-0.196,0.666,0.562,0.179,0.714,0.702,0.297,-0.37,0.441
"1069","P54071","Idh2",NA,NA,-0.196,0.666,0.562,0.179,0.714,0.702,0.297,-0.37,0.441
"1070","P68104","EEF1A1",NA,NA,0.478,-0.434,-0.405,0.062,-0.717,-0.397,-0.136,-0.074,-0.53
"1071","P10126","Eef1a1",NA,NA,0.478,-0.434,-0.405,0.062,-0.717,-0.397,-0.136,-0.074,-0.53
"1072","Q9BTC0","DIDO1",NA,NA,-0.065,0.248,0.273,0.218,-0.082,0.423,0.459,0.094,0.277
"1073","Q05639","EEF1A2",NA,NA,-0.526,0.091,-0.241,-0.091,-0.099,0.045,-0.035,0.786,-0.194
"1074","P68104","EEF1A1",NA,NA,-0.526,0.091,-0.241,-0.091,-0.099,0.045,-0.035,0.786,-0.194
"1075","P62631","Eef1a2",NA,NA,-0.526,0.091,-0.241,-0.091,-0.099,0.045,-0.035,0.786,-0.194
"1076","P10126","Eef1a1",NA,NA,-0.526,0.091,-0.241,-0.091,-0.099,0.045,-0.035,0.786,-0.194
"1077","P63173","RPL38",NA,NA,-0.089,0.645,0.643,0.225,0.481,0.46,0.488,-0.004,0.647
"1078","Q96ES7","SGF29",NA,NA,-0.014,-0.361,-0.417,0.006,-0.318,-0.537,0.124,-0.179,-0.461
"1079","Q9DA08","Sgf29",NA,NA,-0.014,-0.361,-0.417,0.006,-0.318,-0.537,0.124,-0.179,-0.461
"1080","P06733","ENO1",NA,NA,-0.093,0.401,0.447,0.181,0.489,0.486,0.409,0.197,0.564
"1081","P17182","Eno1",NA,NA,-0.093,0.401,0.447,0.181,0.489,0.486,0.409,0.197,0.564
"1082","P18583","SON",NA,NA,0.012,-0.07,-0.013,0.187,-0.012,0.09,0.346,0.062,-0.007
"1083","P62328","TMSB4X",NA,NA,-0.111,0.288,0.312,0.183,0.164,0.329,-0.055,-0.057,0.394
"1084","P20065","Tmsb4x",NA,NA,-0.111,0.288,0.312,0.183,0.164,0.329,-0.055,-0.057,0.394
"1085","Q9P1F3","ABRACL",NA,NA,-0.068,-0.281,-0.21,0.357,0.211,0.071,0.023,-0.258,-0.547
"1086","Q4KML4","Abracl",NA,NA,-0.068,-0.281,-0.21,0.357,0.211,0.071,0.023,-0.258,-0.547
"1087","O15550","KDM6A",NA,NA,-0.305,-0.869,-0.77,-0.076,-0.909,-0.7,-0.264,-0.377,-1.098
"1088","P07724","Alb",NA,NA,0.018,1.661,1.717,0.306,1.353,1.496,0.258,0.351,1.886
"1089","P02545","LMNA",NA,NA,-0.29,0.203,0.18,0.088,-0.035,0.581,-0.228,-0.024,0.207
"1090","P48678","Lmna",NA,NA,-0.29,0.203,0.18,0.088,-0.035,0.581,-0.228,-0.024,0.207
"1091","Q14204","DYNC1H1",NA,NA,-0.173,0.216,0.111,0.094,0.229,0.268,0.091,0.217,0.155
"1092","Q9JHU4","Dync1h1",NA,NA,-0.173,0.216,0.111,0.094,0.229,0.268,0.091,0.217,0.155
"1093","Q6V0I7","FAT4",NA,NA,-0.85,0.335,0.071,0.085,-0.307,0.508,-1.452,-0.806,0.043
"1094","Q2PZL6","Fat4",NA,NA,-0.85,0.335,0.071,0.085,-0.307,0.508,-1.452,-0.806,0.043
"1095","Q08211","DHX9",NA,NA,-0.312,-0.918,-0.893,0.215,-0.746,-0.757,-0.188,-0.224,-1.489
"1096","P53396","ACLY",NA,NA,-0.269,0.322,0.222,0.368,0.3,0.672,-0.035,-0.033,0.335
"1097","Q91V92","Acly",NA,NA,-0.269,0.322,0.222,0.368,0.3,0.672,-0.035,-0.033,0.335
"1098","P47915","Rpl29",NA,NA,-0.137,-0.95,-0.897,-0.155,-0.748,-0.709,0.426,-0.222,-0.484
"1099","Q99615","DNAJC7",NA,NA,0.195,-1.878,-1.971,-0.017,-2.225,-1.429,1.041,-0.044,-1.513
"1100","Q9QYI3","Dnajc7",NA,NA,0.195,-1.878,-1.971,-0.017,-2.225,-1.429,1.041,-0.044,-1.513
